,movie_name,movie_singer
0,"<b>Movie:<a class=""history-ajaxy"" href=""tamil/movie/malikappuram-original-motion-picture-soundtrack-songs-T0005563"">Malikappuram (Original Motion Picture Soundtrack)</a></b>","<p><span>Singers: </span><a class=""history-ajaxy"" href=""https://www.raaga.com/tamil/singer/Velmurugan"" title=""Velmurugan songs"">Velmurugan</a>, <a class=""history-ajaxy"" href=""https://www.raaga.com/tamil/singer/Azeem-Raja"" title=""Azeem Raja songs"">Azeem Raja</a></p>"
1,"<b>Movie:<a class=""history-ajaxy"" href=""tamil/movie/naai-sekar-returns-songs-T0005550"">Naai Sekar Returns</a></b>","<p><span>Singers: </span><a class=""history-ajaxy"" href=""https://www.raaga.com/tamil/singer/Vadivelu"" title=""Vadivelu songs"">Vadivelu</a></p>"
2,"<b>Movie:<a class=""history-ajaxy"" href=""tamil/movie/ghosty-songs-T0005549"">Ghosty</a></b>","<p><span>Singers: </span><a class=""history-ajaxy"" href=""https://www.raaga.com/tamil/singer/Sam.-CS"" title=""Sam. CS songs"">Sam. CS</a></p>"
3,"<b>Movie:<a class=""history-ajaxy"" href=""tamil/movie/bommai-nayagi-songs-T0005560"">Bommai Nayagi</a></b>","<p><span>Singers: </span><a class=""history-ajaxy"" href=""https://www.raaga.com/tamil/singer/Sundaramurthy-KS"" title=""Sundaramurthy KS songs"">Sundaramurthy KS</a>, <a class=""history-ajaxy"" href=""https://www.raaga.com/tamil/singer/D.-Sathyaprakash"" title=""D. Sathyaprakash songs"">D. Sathyaprakash</a></p>"
4,"<b>Movie:<a class=""history-ajaxy"" href=""tamil/movie/pattathu-arasan-songs-T0005551"">Pattathu Arasan</a></b>","<p><span>Singers: </span><a class=""history-ajaxy"" href=""https://www.raaga.com/tamil/singer/KG.-Ranjith"" title=""KG. Ranjith songs"">KG. Ranjith</a>, <a class=""history-ajaxy"" href=""https://www.raaga.com/tamil/singer/Vandana-Srinivasan"" title=""Vandana Srinivasan songs"">Vandana Srinivasan</a></p>"
5,"<b>Movie:<a class=""history-ajaxy"" href=""tamil/movie/aneethi-songs-T0005548"">Aneethi</a></b>","<p><span>Singers: </span><a class=""history-ajaxy"" href=""https://www.raaga.com/tamil/singer/GV.-Prakash"" title=""GV. Prakash songs"">GV. Prakash</a>, <a class=""history-ajaxy"" href=""https://www.raaga.com/tamil/singer/Yamini-Ghantasala"" title=""Yamini Ghantasala songs"">Yamini Ghantasala</a></p>"
6,"<b>Movie:<a class=""history-ajaxy"" href=""tamil/movie/bommai-songs-T0005562"">Bommai</a></b>","<p><span>Singers: </span><a class=""history-ajaxy"" href=""https://www.raaga.com/tamil/singer/Yuvan-Shankar-Raja"" title=""Yuvan Shankar Raja songs"">Yuvan Shankar Raja</a>, <a class=""history-ajaxy"" href=""https://www.raaga.com/tamil/singer/Shweta-Mohan"" title=""Shweta Mohan songs"">Shweta Mohan</a></p>"
7,"<b>Movie:<a class=""history-ajaxy"" href=""tamil/movie/bagheera-songs-T0004983"">Bagheera</a></b>","<p><span>Singers: </span><a class=""history-ajaxy"" href=""https://www.raaga.com/tamil/singer/GV.-Prakash"" title=""GV. Prakash songs"">GV. Prakash</a>, <a class=""history-ajaxy"" href=""https://www.raaga.com/tamil/singer/Mangli"" title=""Mangli songs"">Mangli</a>, <a class=""history-ajaxy"" href=""https://www.raaga.com/tamil/singer/Suchithra-Balasubramanian"" title=""Suchithra Balasubramanian songs"">Suchithra Balasubramanian</a>, <a class=""history-ajaxy"" href=""https://www.raaga.com/tamil/singer/Bharath-Narayan"" title=""Bharath Narayan songs"">Bharath Narayan</a></p>"
8,"<b>Movie:<a class=""history-ajaxy"" href=""tamil/movie/dada-songs-T0005416"">DADA</a></b>","<p><span>Singers: </span><a class=""history-ajaxy"" href=""https://www.raaga.com/tamil/singer/Jen-Martin"" title=""Jen Martin songs"">Jen Martin</a>, <a class=""history-ajaxy"" href=""https://www.raaga.com/tamil/singer/Anthony-Daasan"" title=""Anthony Daasan songs"">Anthony Daasan</a></p>"
9,"<b>Movie:<a class=""history-ajaxy"" href=""tamil/movie/vendhu-thanindhathu-kaadu-songs-T0005184"">Vendhu Thanindhathu Kaadu</a></b>","<p><span>Singers: </span><a class=""history-ajaxy"" href=""https://www.raaga.com/tamil/singer/AR.-Rahman"" title=""AR. Rahman songs"">AR. Rahman</a>, <a class=""history-ajaxy"" href=""https://www.raaga.com/tamil/singer/Madhushree"" title=""Madhushree songs"">Madhushree</a></p>"
